"username";"recipe";"ingredient";"type";"checked"
"jianr";"000018c8a5";"(makes about 4 cups)";"b";1
"jianr";"000018c8a5";"(makes about 4 cups)";"d";0
"jianr";"000018c8a5";"(makes about 4 cups)";"l";0
"jianr";"000018c8a5";"1 ounce Cheddar, grated (1/4 cup)";"b";1
"jianr";"000018c8a5";"1 ounce Cheddar, grated (1/4 cup)";"d";0
"jianr";"000018c8a5";"1 ounce Cheddar, grated (1/4 cup)";"l";0
"jianr";"000018c8a5";"1 ounce Gruyere cheese, grated (1/4 cup)";"b";1
"jianr";"000018c8a5";"1 ounce Gruyere cheese, grated (1/4 cup)";"d";0
"jianr";"000018c8a5";"1 ounce Gruyere cheese, grated (1/4 cup)";"l";0
"jianr";"000018c8a5";"1/2 teaspoon kosher salt";"b";0
"jianr";"000018c8a5";"1/2 teaspoon kosher salt";"d";0
"jianr";"000018c8a5";"1/2 teaspoon kosher salt";"l";0
"jianr";"000018c8a5";"1/3 cup all-purpose flour";"b";0
"jianr";"000018c8a5";"1/3 cup all-purpose flour";"d";0
"jianr";"000018c8a5";"1/3 cup all-purpose flour";"l";0
"jianr";"000018c8a5";"1/4 cup (1/2 stick) unsalted butter";"b";1
"jianr";"000018c8a5";"1/4 cup (1/2 stick) unsalted butter";"d";0
"jianr";"000018c8a5";"1/4 cup (1/2 stick) unsalted butter";"l";0
"jianr";"000018c8a5";"1/4 to 1/2 teaspoon chipotle chili powder";"b";1
"jianr";"000018c8a5";"1/4 to 1/2 teaspoon chipotle chili powder";"d";0
"jianr";"000018c8a5";"1/4 to 1/2 teaspoon chipotle chili powder";"l";0
"jianr";"000018c8a5";"1/4 to 1/2 teaspoon chipotle chili powder (see Note)";"b";1
"jianr";"000018c8a5";"1/4 to 1/2 teaspoon chipotle chili powder (see Note)";"d";0
"jianr";"000018c8a5";"1/4 to 1/2 teaspoon chipotle chili powder (see Note)";"l";0
"jianr";"000018c8a5";"1/8 teaspoon garlic powder";"b";0
"jianr";"000018c8a5";"1/8 teaspoon garlic powder";"d";0
"jianr";"000018c8a5";"1/8 teaspoon garlic powder";"l";0
"jianr";"000018c8a5";"14 ounces semihard cheese (page 23), grated (about 3 1/2 cups)";"b";1
"jianr";"000018c8a5";"14 ounces semihard cheese (page 23), grated (about 3 1/2 cups)";"d";0
"jianr";"000018c8a5";"14 ounces semihard cheese (page 23), grated (about 3 1/2 cups)";"l";0
"jianr";"000018c8a5";"2 cups Beechers Flagship Cheese Sauce (recipe follows)";"b";1
"jianr";"000018c8a5";"2 cups Beechers Flagship Cheese Sauce (recipe follows)";"d";0
"jianr";"000018c8a5";"2 cups Beechers Flagship Cheese Sauce (recipe follows)";"l";0
"jianr";"000018c8a5";"2 ounces semisoft cheese (page 23), grated (1/2 cup)";"b";0
"jianr";"000018c8a5";"2 ounces semisoft cheese (page 23), grated (1/2 cup)";"d";0
"jianr";"000018c8a5";"2 ounces semisoft cheese (page 23), grated (1/2 cup)";"l";0
"jianr";"000018c8a5";"3 cups milk";"b";0
"jianr";"000018c8a5";"3 cups milk";"d";0
"jianr";"000018c8a5";"3 cups milk";"l";0
"jianr";"000018c8a5";"6 ounces penne";"b";0
"jianr";"000018c8a5";"6 ounces penne";"d";0
"jianr";"000018c8a5";"6 ounces penne";"l";0
"jianr";"64d0ea2b33";"1 12 lbs beef, strip loin grilling medallions 1-inch thick (about 6)";"l";0
"jianr";"64d0ea2b33";"1 12 lbs mushrooms, assorted (such as button, cremini, portobello, shiitake or oyster)";"l";0
"jianr";"64d0ea2b33";"1 sweet onion, cut into wedges";"l";0
"jianr";"64d0ea2b33";"1 teaspoon crumbled dried rosemary";"l";0
"jianr";"64d0ea2b33";"2 tablespoons butter";"l";0
"jianr";"64d0ea2b33";"2 tablespoons fresh lemon juice";"l";0
"jianr";"64d0ea2b33";"3 green onions, thinly sliced";"l";0
"jianr";"64d0ea2b33";"34 cup Diana Original Sauce";"l";0
"jianr";"64d0ea2b33";"4 garlic cloves, minced";"l";0
"jianr";"64d0ea2b33";"salt and pepper";"l";0
