"username";"recipe";"instruction_number";"instruction";"type";"checked"
"jianr";"000018c8a5";1;"Preheat the oven to 350 F. Butter or oil an 8-inch baking dish.";"b";1
"jianr";"000018c8a5";1;"Preheat the oven to 350 F. Butter or oil an 8-inch baking dish.";"d";0
"jianr";"000018c8a5";1;"Preheat the oven to 350 F. Butter or oil an 8-inch baking dish.";"l";1
"jianr";"000018c8a5";2;"Cook the penne 2 minutes less than package directions.";"b";0
"jianr";"000018c8a5";2;"Cook the penne 2 minutes less than package directions.";"d";1
"jianr";"000018c8a5";2;"Cook the penne 2 minutes less than package directions.";"l";0
"jianr";"000018c8a5";3;"(It will finish cooking in the oven.)";"b";0
"jianr";"000018c8a5";3;"(It will finish cooking in the oven.)";"d";1
"jianr";"000018c8a5";3;"(It will finish cooking in the oven.)";"l";1
"jianr";"000018c8a5";4;"Rinse the pasta in cold water and set aside.";"b";0
"jianr";"000018c8a5";4;"Rinse the pasta in cold water and set aside.";"d";0
"jianr";"000018c8a5";4;"Rinse the pasta in cold water and set aside.";"l";1
"jianr";"000018c8a5";5;"Combine the cooked pasta and the sauce in a medium bowl and mix carefully but thoroughly.";"b";0
"jianr";"000018c8a5";5;"Combine the cooked pasta and the sauce in a medium bowl and mix carefully but thoroughly.";"d";1
"jianr";"000018c8a5";5;"Combine the cooked pasta and the sauce in a medium bowl and mix carefully but thoroughly.";"l";1
"jianr";"000018c8a5";6;"Scrape the pasta into the prepared baking dish.";"b";0
"jianr";"000018c8a5";6;"Scrape the pasta into the prepared baking dish.";"d";0
"jianr";"000018c8a5";6;"Scrape the pasta into the prepared baking dish.";"l";0
"jianr";"000018c8a5";7;"Sprinkle the top with the cheeses and then the chili powder.";"b";0
"jianr";"000018c8a5";7;"Sprinkle the top with the cheeses and then the chili powder.";"d";1
"jianr";"000018c8a5";7;"Sprinkle the top with the cheeses and then the chili powder.";"l";0
"jianr";"000018c8a5";8;"Bake, uncovered, for 20 minutes.";"b";0
"jianr";"000018c8a5";8;"Bake, uncovered, for 20 minutes.";"d";0
"jianr";"000018c8a5";8;"Bake, uncovered, for 20 minutes.";"l";1
"jianr";"000018c8a5";9;"Let the mac and cheese sit for 5 minutes before serving.";"b";0
"jianr";"000018c8a5";9;"Let the mac and cheese sit for 5 minutes before serving.";"d";0
"jianr";"000018c8a5";9;"Let the mac and cheese sit for 5 minutes before serving.";"l";0
"jianr";"000018c8a5";10;"Melt the butter in a heavy-bottomed saucepan over medium heat and whisk in the flour.";"b";0
"jianr";"000018c8a5";10;"Melt the butter in a heavy-bottomed saucepan over medium heat and whisk in the flour.";"d";0
"jianr";"000018c8a5";10;"Melt the butter in a heavy-bottomed saucepan over medium heat and whisk in the flour.";"l";0
"jianr";"000018c8a5";11;"Continue whisking and cooking for 2 minutes.";"b";0
"jianr";"000018c8a5";11;"Continue whisking and cooking for 2 minutes.";"d";0
"jianr";"000018c8a5";11;"Continue whisking and cooking for 2 minutes.";"l";0
"jianr";"000018c8a5";12;"Slowly add the milk, whisking constantly.";"b";0
"jianr";"000018c8a5";12;"Slowly add the milk, whisking constantly.";"d";0
"jianr";"000018c8a5";12;"Slowly add the milk, whisking constantly.";"l";0
"jianr";"000018c8a5";13;"Cook until the sauce thickens, about 10 minutes, stirring frequently.";"b";0
"jianr";"000018c8a5";13;"Cook until the sauce thickens, about 10 minutes, stirring frequently.";"d";0
"jianr";"000018c8a5";13;"Cook until the sauce thickens, about 10 minutes, stirring frequently.";"l";0
"jianr";"000018c8a5";14;"Remove from the heat.";"b";0
"jianr";"000018c8a5";14;"Remove from the heat.";"d";0
"jianr";"000018c8a5";14;"Remove from the heat.";"l";0
"jianr";"000018c8a5";15;"Add the cheeses, salt, chili powder, and garlic powder.";"b";0
"jianr";"000018c8a5";15;"Add the cheeses, salt, chili powder, and garlic powder.";"d";0
"jianr";"000018c8a5";15;"Add the cheeses, salt, chili powder, and garlic powder.";"l";0
"jianr";"000018c8a5";16;"Stir until the cheese is melted and all ingredients are incorporated, about 3 minutes.";"b";0
"jianr";"000018c8a5";16;"Stir until the cheese is melted and all ingredients are incorporated, about 3 minutes.";"d";0
"jianr";"000018c8a5";16;"Stir until the cheese is melted and all ingredients are incorporated, about 3 minutes.";"l";0
"jianr";"000018c8a5";17;"Use immediately, or refrigerate for up to 3 days.";"b";0
"jianr";"000018c8a5";17;"Use immediately, or refrigerate for up to 3 days.";"d";0
"jianr";"000018c8a5";17;"Use immediately, or refrigerate for up to 3 days.";"l";0
"jianr";"000018c8a5";18;"This sauce reheats nicely on the stove in a saucepan over low heat.";"b";0
"jianr";"000018c8a5";18;"This sauce reheats nicely on the stove in a saucepan over low heat.";"d";0
"jianr";"000018c8a5";18;"This sauce reheats nicely on the stove in a saucepan over low heat.";"l";0
"jianr";"000018c8a5";19;"Stir frequently so the sauce doesnt scorch.";"b";0
"jianr";"000018c8a5";19;"Stir frequently so the sauce doesnt scorch.";"d";0
"jianr";"000018c8a5";19;"Stir frequently so the sauce doesnt scorch.";"l";0
"jianr";"000018c8a5";20;"This recipe can be assembled before baking and frozen for up to 3 monthsjust be sure to use a freezer-to-oven pan and increase the baking time to 50 minutes.";"b";0
"jianr";"000018c8a5";20;"This recipe can be assembled before baking and frozen for up to 3 monthsjust be sure to use a freezer-to-oven pan and increase the baking time to 50 minutes.";"d";0
"jianr";"000018c8a5";20;"This recipe can be assembled before baking and frozen for up to 3 monthsjust be sure to use a freezer-to-oven pan and increase the baking time to 50 minutes.";"l";0
"jianr";"000018c8a5";21;"One-half teaspoon of chipotle chili powder makes a spicy mac, so make sure your family and friends can handle it!";"b";0
"jianr";"000018c8a5";21;"One-half teaspoon of chipotle chili powder makes a spicy mac, so make sure your family and friends can handle it!";"d";0
"jianr";"000018c8a5";21;"One-half teaspoon of chipotle chili powder makes a spicy mac, so make sure your family and friends can handle it!";"l";0
"jianr";"000018c8a5";22;"The proportion of pasta to cheese sauce is crucial to the success of the dish.";"b";0
"jianr";"000018c8a5";22;"The proportion of pasta to cheese sauce is crucial to the success of the dish.";"d";0
"jianr";"000018c8a5";22;"The proportion of pasta to cheese sauce is crucial to the success of the dish.";"l";0
"jianr";"000018c8a5";23;"It will look like a lot of sauce for the pasta, but some of the liquid will be absorbed.";"b";0
"jianr";"000018c8a5";23;"It will look like a lot of sauce for the pasta, but some of the liquid will be absorbed.";"d";0
"jianr";"000018c8a5";23;"It will look like a lot of sauce for the pasta, but some of the liquid will be absorbed.";"l";0
"jianr";"64d0ea2b33";1;"Combine Diana sauce, lemon juice, green onions and rosemary in bowl.";"l";1
"jianr";"64d0ea2b33";2;"Remove 1/4 for basting.";"l";0
"jianr";"64d0ea2b33";3;"Cut mushrooms into large chunks, keeping oyster mushrooms whole.";"l";1
"jianr";"64d0ea2b33";4;"Toss with onion, and salt and pepper to taste.";"l";1
"jianr";"64d0ea2b33";5;"Pan-fry in butter in nonstick skillet over medium heat for about 12 minutes or until slightly caramelized and liquid has evaporated.";"l";1
"jianr";"64d0ea2b33";6;"Stir in Diana sauce mixture; heat through.";"l";1
"jianr";"64d0ea2b33";7;"Meanwhile season medallions with salt and pepper to taste.";"l";0
"jianr";"64d0ea2b33";8;"Grill over medium-high heat for 5-6 minutes per side for medium -rare, brushing with reserved sauce occasionally.";"l";0
"jianr";"64d0ea2b33";9;"Let stand for 5 minutes.";"l";0
"jianr";"64d0ea2b33";10;"Serve each topped with pan-fried mushrooms.";"l";0
